"","geoid","region_name","year","value","region_type","measure","measure_type","measure_units"
"109",51510,"Alexandria City, Virginia",2016,11.79651644,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"110",51510,"Alexandria City, Virginia",2016,11.79651644,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"111",51510,"Alexandria City, Virginia",2017,12.56904073,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"112",51510,"Alexandria City, Virginia",2017,12.56904073,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"113",51510,"Alexandria City, Virginia",2017,12.56904073,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"114",51510,"Alexandria City, Virginia",2017,12.56904073,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"115",51510,"Alexandria City, Virginia",2017,12.56904073,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"116",51510,"Alexandria City, Virginia",2018,10.37772172,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"117",51510,"Alexandria City, Virginia",2018,10.37772172,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"118",51510,"Alexandria City, Virginia",2018,10.37772172,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"119",51510,"Alexandria City, Virginia",2018,10.37772172,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"120",51510,"Alexandria City, Virginia",2018,10.37772172,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"121",51510,"Alexandria City, Virginia",2019,10.27572171,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"122",51510,"Alexandria City, Virginia",2019,10.27572171,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"123",51510,"Alexandria City, Virginia",2019,10.27572171,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"124",51510,"Alexandria City, Virginia",2019,10.27572171,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"125",51510,"Alexandria City, Virginia",2019,10.27572171,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"126",51600,"Fairfax City, Virginia",2015,14.39264425,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"127",51600,"Fairfax City, Virginia",2015,14.39264425,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"128",51600,"Fairfax City, Virginia",2015,14.39264425,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"129",51600,"Fairfax City, Virginia",2015,14.39264425,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"130",51600,"Fairfax City, Virginia",2015,14.39264425,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"131",51600,"Fairfax City, Virginia",2016,14.06692571,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"132",51600,"Fairfax City, Virginia",2016,14.06692571,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"133",51600,"Fairfax City, Virginia",2016,14.06692571,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"134",51600,"Fairfax City, Virginia",2016,14.06692571,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"135",51600,"Fairfax City, Virginia",2016,14.06692571,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"136",51600,"Fairfax City, Virginia",2017,14.61532942,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"137",51600,"Fairfax City, Virginia",2017,14.61532942,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"138",51600,"Fairfax City, Virginia",2017,14.61532942,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"139",51600,"Fairfax City, Virginia",2017,14.61532942,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"140",51600,"Fairfax City, Virginia",2017,14.61532942,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"141",51600,"Fairfax City, Virginia",2018,9.089131874,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"142",51600,"Fairfax City, Virginia",2018,9.089131874,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"143",51600,"Fairfax City, Virginia",2018,9.089131874,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"144",51600,"Fairfax City, Virginia",2018,9.089131874,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"145",51600,"Fairfax City, Virginia",2018,9.089131874,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"146",51600,"Fairfax City, Virginia",2019,14.08640866,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"147",51600,"Fairfax City, Virginia",2019,14.08640866,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"148",51600,"Fairfax City, Virginia",2019,14.08640866,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"149",51600,"Fairfax City, Virginia",2019,14.08640866,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"150",51600,"Fairfax City, Virginia",2019,14.08640866,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"151",51610,"Falls Church City, Virginia",2015,9.960463936,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"152",51610,"Falls Church City, Virginia",2015,9.960463936,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"153",51610,"Falls Church City, Virginia",2015,9.960463936,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"154",51610,"Falls Church City, Virginia",2015,9.960463936,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"155",51610,"Falls Church City, Virginia",2015,9.960463936,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"156",51610,"Falls Church City, Virginia",2016,13.99400772,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"157",51610,"Falls Church City, Virginia",2016,13.99400772,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"158",51610,"Falls Church City, Virginia",2016,13.99400772,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"159",51610,"Falls Church City, Virginia",2016,13.99400772,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"160",51610,"Falls Church City, Virginia",2016,13.99400772,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"161",51610,"Falls Church City, Virginia",2017,11.23937994,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"162",51610,"Falls Church City, Virginia",2017,11.23937994,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"163",51610,"Falls Church City, Virginia",2017,11.23937994,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"164",51610,"Falls Church City, Virginia",2017,11.23937994,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"165",51610,"Falls Church City, Virginia",2017,11.23937994,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"166",51610,"Falls Church City, Virginia",2018,11.71846591,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"167",51610,"Falls Church City, Virginia",2018,11.71846591,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"168",51610,"Falls Church City, Virginia",2018,11.71846591,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"169",51610,"Falls Church City, Virginia",2018,11.71846591,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"170",51610,"Falls Church City, Virginia",2018,11.71846591,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"171",51610,"Falls Church City, Virginia",2019,10.56475032,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"172",51610,"Falls Church City, Virginia",2019,10.56475032,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"173",51610,"Falls Church City, Virginia",2019,10.56475032,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"174",51610,"Falls Church City, Virginia",2019,10.56475032,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"175",51610,"Falls Church City, Virginia",2019,10.56475032,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"176",51683,"Manassas City, Virginia",2015,8.18372336,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"177",51683,"Manassas City, Virginia",2015,8.18372336,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"178",51683,"Manassas City, Virginia",2015,8.18372336,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"179",51683,"Manassas City, Virginia",2015,8.18372336,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"180",51683,"Manassas City, Virginia",2015,8.18372336,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"181",51683,"Manassas City, Virginia",2016,10.65987234,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"182",51683,"Manassas City, Virginia",2016,10.65987234,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"183",51683,"Manassas City, Virginia",2016,10.65987234,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"184",51683,"Manassas City, Virginia",2016,10.65987234,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"185",51683,"Manassas City, Virginia",2016,10.65987234,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"186",51683,"Manassas City, Virginia",2017,14.67699107,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"187",51683,"Manassas City, Virginia",2017,14.67699107,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"188",51683,"Manassas City, Virginia",2017,14.67699107,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"189",51683,"Manassas City, Virginia",2017,14.67699107,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"190",51683,"Manassas City, Virginia",2017,14.67699107,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"191",51683,"Manassas City, Virginia",2018,15.13593808,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
"192",51683,"Manassas City, Virginia",2018,15.13593808,"county","perc_poor_phys_hlth_days_14_and_over","mean","days"
